web-scraper-order,web-scraper-start-url,articles,articles-href,title,subtitle,author,content,date
"1570858933-2637","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-rallies-in-texas-with-indian-leader_n_5d87c16be4b0957256b88f8d","Thousands, Including Trump, Rally In Texas For India’s Prime Minister","Trump was greeted with a standing ovation by the Indian-American crowd that voted overwhelmingly against him in 2016.","","“Today we celebrate our community and its importance in Houston and all America,” said Ketan Inamdar, who works in the administration of Houston’s Democratic Mayor Sylvester Turner, and painted an American flag on his right cheek and an Indian one on the left.","09/22/2019 03:45 pm ET"
"1570859588-6072","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/kevin-mcaleenan-donald-trump-homeland-security-quits_n_5da11bbbe4b02c9da04a6d00","Acting Homeland Security Secretary Kevin McAleenan Is Out After Just 6 Months","McAleenan struggled to mesh with the Trump administration.","","“What I don’t have control over is the tone, the message, the public face and approach of the department in an increasingly polarized time,” McAleenan told the Post. “That’s uncomfortable, as the accountable senior figure.”","10/11/2019 09:07 pm ET"
"1570859023-3152","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-ukraine-doj-fec_n_5d965755e4b0f5bf7971917b","Amy Klobuchar Wants To Know If There Was A ‘Third Cover-Up’ Of Trump’s Ukraine Call","The Justice Department is supposed to tell the Federal Election Commission about any campaign finance legal matters it reviews. Did it?","Paul Blumenthal","","10/03/2019 06:37 pm ET"
"1570858930-2619","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-zelensky-ukraine-impeachment_n_5d8bb919e4b0e9e7604670bf","Ukrainian President Says He Doesn’t Want To Be Involved With U.S. Elections","Asked whether he was pressured by Trump, President Volodymyr Zelensky told reporters on Wednesday that “nobody” pushed him.","","Speaking in front of reporters Wednesday, Zelensky was asked if Trump had pressured him to investigate Biden.","09/25/2019 04:15 pm ET"
"1570859013-3077","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/diplomat-at-center-of-trump-impeachment-inquiry-says-he-warned-ukraine-to-stay-away_n_5d966448e4b02911e1180cfd","Diplomat At Center Of Trump Impeachment Inquiry Says He Warned Ukraine To Stay Away","Kurt Volker, who just resigned as special U.S. envoy to Ukraine, told Congress he wasn’t involved in Trump’s effort to have the Ukraine investigate Joe Biden.","","___","10/03/2019 05:26 pm ET"
"1570859119-3589","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/second-whistleblower-trump-ukraine_n_5d99e2cce4b03b475f9ae5ed","2nd Whistleblower Comes Forward On Trump’s Dealings With Ukraine: Attorneys","The intelligence official is said to have firsthand knowledge of details cited in the first whistleblower’s complaint against Trump.","","Trump, who’s accused of inappropriately pressuring Zelensky to investigate one of his 2020 presidential rivals, former Vice President Joe Biden, has attempted to cast doubt on the account.","10/06/2019 10:09 am ET"
"1570859303-4493","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-biden-big-lie_n_5d9cf04ee4b06ddfc50fdff9","Habitually Dishonest Trump Pushes His Biggest Lie Yet About The Democrat He Fears Most","Trump’s accusations against Joe Biden turn reality on its head. Biden’s Ukraine efforts were more likely to hurt his son’s company, not help it.","","“The Biden family was PAID OFF, pure and simple!” he wrote Sunday.","10/08/2019 06:48 pm ET"
"1570859338-4702","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-impeachment-facebook-ad-lies_n_5d9cffade4b06ddfc50ff5d9","How Trump And Facebook Are Cashing In On The Impeachment News","Unbound by truth on one of the world’s most powerful advertising platforms, Trump’s anti-impeachment ads are drawing in donors with clickbait disinformation.","","The company’s policy to accept politicians’ money for ads promoting fake news is especially beneficial for Trump: He’s a master at spreading lies to benefit himself politically, and his presidency has demonstrated just how vulnerable American democracy is to disinformation on Facebook. The platform provides an ideal environment for incendiary, clickbait falsehoods by rewarding them with unwavering impunity.","10/09/2019 05:45 am ET"
"1570859400-5108","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/whistleblower-defended-attorneys_n_5d9e9b43e4b06ddfc5137a48","‘The Whistleblower Is Not The Story’: Lawyers Defend Client As Trump Rages About ‘Scam’","The anonymous person has “never worked for or advised” a political campaign, the attorneys said.","Nick Visser","","10/10/2019 01:00 am ET"
"1570859542-5775","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/donald-trump-beyonce-jay-z-springsteen-backlash_n_5da031e1e4b087efdbac2178","Donald Trump Belittles Beyoncé, Jay-Z, Bruce Springsteen And Invokes Fans’ Fury","“It’s time to get in impeachment formation,” one person responded on Twitter. “You’ll NEVER be The Boss,” added another.","","Trump bragged about the size of the crowds he attracted during the 2016 campaign and mocked his then-Democratic rival Hillary Clinton, who had a series of high-profile musicians perform at her events.","10/11/2019 04:43 am ET"
"1570858948-2709","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/walter-schaub-democracy-intensive-care-ukraine_n_5d86d1f8e4b070d468cdc02a","U.S. Democracy Is ‘In The ICU’ After Ukraine Mess, Says Former Ethics Chief","“And some of the hospital staff are trying to smother it with a pillow,” warns Walter Shaub.","","Yet even as the republic gasps for survival in the intensive care unit, some politicians are out to “smother it with a pillow,” Walter Shaub warned.","09/21/2019 11:43 pm ET"
"1570858976-2858","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/rudy-giuliani-gave-documents-state-department-ig-congress_n_5d955e85e4b0da7f6621579a","Rudy Giuliani: I Provided Documents State Department Watchdog Gave To Congress","Trump’s attorney told CNN he had “routed” an “outline” of allegations to Mike Pompeo, who told him they would “investigate it.”","","The packet had a return address that matched that of the Manhattan office of Giuliani, who later confirmed that he was responsible for their production, telling The New York Times they came from a “professional investigator who works for my company.”","10/03/2019 12:59 am ET"
"1570859018-3126","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/general-motors-strike-long-haul_n_5d964f10e4b02911e117de9f","GM Strikers Settle In For The Long Haul","As the autoworkers’ strike grinds through its third week, workers say they’ll stay on the picket lines for as long as it takes.","","While a lot of news coverage has faded, many workers believe community support will become even more important as the strike wears on. The local UAW union is made up entirely of GM employees from the warehouse, and it no longer has its own union hall, instead renting a space for meetings.","10/03/2019 07:20 pm ET"
"1570859480-5483","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/epa-drinking-water_n_5d9f8db8e4b087efdbaac243","Lead Pipes Are Safe From The EPA’s New Drinking Water Rule","The regulation that was too weak to stop the Flint water crisis is getting some mild improvements — but lead pipes can stay.","","“Lead pipes are going to be there for my lifetime and my children’s lifetime,” he said. “You get the water you pay for.”","10/10/2019 06:04 pm ET"
"1570858936-2660","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/jewelry-stolen-trump-tower_n_5d899a96e4b0d269465368be","More Than $350,000 In Jewelry Snatched From Trump Tower Apartments","Investigators suspect an inside job, a source told The New York Post.","","Jonathan Wackrow, a former Secret Service agent and CNN contributor, said the thefts raised concerns about a threat from an insider at Trump Tower, which is always protected by the Secret Service.","09/24/2019 02:58 am ET"
