web-scraper-order,web-scraper-start-url,articles,articles-href,title,subtitle,author,date,content
"1571026433-3380","https://www.nytimes.com/search?query=John+Mccain","John McCain in DallasJohn McCain comments on the results from the March 4 primaries. (NBC Video)","https://www.nytimes.com/video/us/politics/1194817099103/john-mccain-in-dallas.html?searchResultPosition=26","null","null","T Magazine","null",""
"1571026470-3523","https://www.nytimes.com/search?query=John+Mccain","The Essential John McCainThe senator illustrates what it is to be an honorable citizen.By David BrooksPRINT EDITIONThe Essential  John McCain|October 20, 2017, Page A25","https://www.nytimes.com/2017/10/19/opinion/the-essential-john-mccain.html?searchResultPosition=12","The Essential John McCain","null","","Oct. 19, 2017","In the first place, McCain seems to be the only member of Congress who insists on holding hearings and working toward compromise before passing major legislation. This would seem to be the very elemental prerequisite of good government — like a doctor seeking a diagnosis before performing surgery — but McCain appears to be the only member, or at least the only Republican, willing to risk unpopularity to insist upon a basic respect for our sacred institutions."
"1571026426-3338","https://www.nytimes.com/search?query=John+Mccain","John McCain in ArizonaJohn McCain struck a conciliatory tone toward his Republican nomination rivals as he celebrated Super Tuesday victories. (Video: NBC News)","https://www.nytimes.com/video/us/politics/1194817113299/john-mccain-in-arizona.html?searchResultPosition=29","null","null","2020 Elections","null",""
"1571026451-3445","https://www.nytimes.com/search?query=John+Mccain","Trump: ‘I Was Never a Fan of John McCain’President Trump responded to a reporter’s question Tuesday about his recent attacks on the late Senator John McCain, who died of brain cancer last year.By The New York Times","https://www.nytimes.com/video/us/politics/100000006418106/trump-mccain-video.html?searchResultPosition=19","null","null","RSS","null",""
"1571026484-3638","https://www.nytimes.com/search?query=John+Mccain","Acting Defense Chief Says He Wouldn’t Have Hidden McCain ShipThe acting secretary, Patrick Shanahan, who is facing a tough Senate confirmation battle, told reporters that “our business is to run military operations and not become politicized.”By Helene Cooper and Ben DooleyPRINT EDITIONU.S. Official Says He Disagrees With White House Move on McCain Ship|June 1, 2019, Page A12","https://www.nytimes.com/2019/05/31/world/asia/trump-mccain-ship.html?searchResultPosition=8","Acting Defense Chief Says He Wouldn’t Have Hidden McCain Ship","null","Ben Dooley","May 31, 2019",""
"1571026494-3694","https://www.nytimes.com/search?query=John+Mccain","Navy Destroyer John McCain Hidden During Trump’s Japan VisitWhile Navy officials insisted they did not hide the ship, they did give all of sailors aboard the day off on Tuesday as President Trump visited Yokosuka Naval Base in Japan.By Maggie Haberman and Helene CooperPRINT EDITIONWhite House Asked Navy To Hide McCain Warship|May 30, 2019, Page A19","https://www.nytimes.com/2019/05/29/us/politics/uss-mccain-navy-ship.html?searchResultPosition=5","Navy Destroyer John McCain Hidden During Trump’s Japan Visit","null","Maggie Haberman","May 29, 2019",""
"1571026423-3304","https://www.nytimes.com/search?query=John+Mccain","John McCain on ImmigrationLess than 24 hours after a bill he had co-authored on immigration reform stalled in the Senate, Senator John McCain was on the stump discussing the issue.","https://www.nytimes.com/video/us/politics/1194817120381/john-mccain-on-immigration.html?searchResultPosition=30","null","null","Hong Kong Protests","null",""
"1571026433-3400","https://www.nytimes.com/search?query=John+Mccain","John McCain in DallasJohn McCain comments on the results from the March 4 primaries. (NBC Video)","https://www.nytimes.com/video/us/politics/1194817099103/john-mccain-in-dallas.html?searchResultPosition=26","null","null","Terms of Service","null",""
"1571026426-3355","https://www.nytimes.com/search?query=John+Mccain","John McCain in ArizonaJohn McCain struck a conciliatory tone toward his Republican nomination rivals as he celebrated Super Tuesday victories. (Video: NBC News)","https://www.nytimes.com/video/us/politics/1194817113299/john-mccain-in-arizona.html?searchResultPosition=29","null","null","Magazine","null",""
"1571026431-3371","https://www.nytimes.com/search?query=John+Mccain","John McCain’s ApologyBy Chris Suellentrop","https://opinionator.blogs.nytimes.com/2006/05/15/john-mccains-apology/?searchResultPosition=27","null","null","The New York Times Company","null",""
"1571026459-3469","https://www.nytimes.com/search?query=John+Mccain","John McCainA video clip from ""In  the Silent Echo Chamber.""Sylvia Rupani-Smith","https://www.nytimes.com/video/multimedia/1194836856281/john-mccain.html?searchResultPosition=16","null","null","The Dispatch","null",""
"1571026477-3585","https://www.nytimes.com/search?query=John+Mccain","‘I Wasn’t Involved’ in Effort to Hide U.S.S. McCain, Trump SaysPresident Trump told reporters on Thursday that he was not aware of efforts to hide a Navy destroyer named in part after the late Senator John McCain during his visit to Japan this week.By The Associated Press","https://www.nytimes.com/video/us/politics/100000006532473/trump-mccain-ship.html?searchResultPosition=10","null","null","T Magazine","null",""
"1571026477-3584","https://www.nytimes.com/search?query=John+Mccain","‘I Wasn’t Involved’ in Effort to Hide U.S.S. McCain, Trump SaysPresident Trump told reporters on Thursday that he was not aware of efforts to hide a Navy destroyer named in part after the late Senator John McCain during his visit to Japan this week.By The Associated Press","https://www.nytimes.com/video/us/politics/100000006532473/trump-mccain-ship.html?searchResultPosition=10","null","null","Magazine","null",""
"1571026494-3710","https://www.nytimes.com/search?query=John+Mccain","Navy Destroyer John McCain Hidden During Trump’s Japan VisitWhile Navy officials insisted they did not hide the ship, they did give all of sailors aboard the day off on Tuesday as President Trump visited Yokosuka Naval Base in Japan.By Maggie Haberman and Helene CooperPRINT EDITIONWhite House Asked Navy To Hide McCain Warship|May 30, 2019, Page A19","https://www.nytimes.com/2019/05/29/us/politics/uss-mccain-navy-ship.html?searchResultPosition=5","Navy Destroyer John McCain Hidden During Trump’s Japan Visit","null","","May 29, 2019","Just days later, the Navy was embroiled in the McCain news. “All ships remained in normal configuration during the president’s visit,” said Cmdr. Nate Christensen, a Navy spokesman."
"1571026497-3730","https://www.nytimes.com/search?query=John+Mccain","John McCain and Trump’s Narcissism: A Clash at SeaThe White House coddles the president, even by disparaging a warship, its crew and a Navy hero.By Michelle CottlePRINT EDITIONMr. Trump’s Narcissism and a Clash at Sea|May 31, 2019, Page A26","https://www.nytimes.com/2019/05/30/opinion/donald-trump-john-mccain-navy-ship.html?searchResultPosition=4","John McCain and Trump’s Narcissism: A Clash at Sea","The White House coddles the president, even by disparaging a warship, its crew and a Navy hero.","","null","And so the integrity of the American electoral system is being neglected because White House aides don’t want to risk hurting Mr. Trump’s feelings. Who knows what other important issues are being similarly compromised? One has to wonder whether, somewhere in the White House computer system, there is a running list of topics that cannot be broached, lest they trigger the volatile Mr. Trump."
"1571026484-3648","https://www.nytimes.com/search?query=John+Mccain","Acting Defense Chief Says He Wouldn’t Have Hidden McCain ShipThe acting secretary, Patrick Shanahan, who is facing a tough Senate confirmation battle, told reporters that “our business is to run military operations and not become politicized.”By Helene Cooper and Ben DooleyPRINT EDITIONU.S. Official Says He Disagrees With White House Move on McCain Ship|June 1, 2019, Page A12","https://www.nytimes.com/2019/05/31/world/asia/trump-mccain-ship.html?searchResultPosition=8","Acting Defense Chief Says He Wouldn’t Have Hidden McCain Ship","null","","May 31, 2019","Mr. Trump routinely shrugs off the conventions of his office, like avoiding actions that inject politics into military affairs. It would be much more politically difficult for Mr. Shanahan to dodge questions about an episode like the measures taken to obscure the ship."
