web-scraper-order,web-scraper-start-url,articles,articles-href,title,subtitle,author,date,content
"1571007156-1480","https://www.nytimes.com/search?query=Donald+Trump","Why Evangelicals Support Donald Trump“Who Is an Evangelical?,” by Thomas S. Kidd, and “The Immoral Majority,” by Ben Howe, examine the politics of the religious right.By Frances FitzgeraldPRINT EDITIONWith God on Their Side","https://www.nytimes.com/2019/10/07/books/review/who-is-an-evangelical-thomas-s-kidd.html?searchResultPosition=4","Why Evangelicals Support Donald Trump","null","","null","Interestingly, Kidd traces what he calls the crisis of the movement to the 1940s, when Billy Graham and many other preachers blended their gospel with anti-Communism. The turning point, he says, came when Graham made an alliance with President Eisenhower, and evangelicals began to conflate pollical power and access to Republican leaders with the advancement of God’s kingdom. Kidd describes the Republican efforts to woo evangelicals while President Johnson’s civil rights acts were turning white Southerners against him. Throughout the book, Kidd does a good job of including the perspectives of black clergymen. However, he, like many other evangelicals, often equates “evangelicals” with “Christians,” and negates the role Northern white Catholics and mainline Protestants played in the civil rights movement."
"1571007100-954","https://www.nytimes.com/search?query=Donald+Trump","Trump’s No. 1 Obsession (No, It’s Not Impeachment)In their new book, our colleagues write about the issue the president is sure to focus on in 2020.By Lisa Lerer","https://www.nytimes.com/2019/10/07/us/politics/on-politics-trump-immigration.html?searchResultPosition=25","Trump’s No. 1 Obsession (No, It’s Not Impeachment)","In their new book, our colleagues write about the issue the president is sure to focus on in 2020.","Lisa Lerer","null",""
"1571007128-1220","https://www.nytimes.com/search?query=Donald+Trump","We Will Never, Ever Be Rid of Donald TrumpThere is no black Sharpie to write him out of our consciousness.By Frank BruniPRINT EDITIONWe Will Never, Ever Be Rid Of Trump|September 11, 2019, Page A31","https://www.nytimes.com/2019/09/10/opinion/donald-trump.html?searchResultPosition=14","We Will Never, Ever Be Rid of Donald Trump","There is no black Sharpie to write him out of our consciousness.","","null","House Democrats are inching closer to a formal impeachment inquiry, as if that’s how best to exorcise Donald Trump from the body politic. Mark Sanford just became the third Republican to announce a 2020 primary challenge and to dream of a successful insurrection against an emperor  whom most of the party meekly obeys."
"1571007145-1406","https://www.nytimes.com/search?query=Donald+Trump","How Donald Trump’s Obsession With Immigrants Has Shaped His Presidency“Border Wars,” by Julie Hirschfeld Davis and Michael D. Shear, details the administration’s draconian immigration policies.By Joe KleinPRINT EDITIONKeep ’Em Out!","https://www.nytimes.com/2019/10/08/books/review/border-wars-julie-hirschfeld-davis-michael-d-shear.html?searchResultPosition=8","How Donald Trump’s Obsession With Immigrants Has Shaped His Presidency","null","","null","Trump’s bigoted eruption was instant news. But the context provided by the New York Times journalists Julie Hirschfeld Davis and Michael D. Shear in their exquisitely reported “Border Wars” reveals the shattering horror of the moment, the mercurial unreliability and instability of the president. Davis and Shear perform this contextual service time and again throughout their book, which is essential reading for those searching for the “beating heart” of the Trump administration. The authors argue it is immigration policy, and who can dispute that? From his very first news conference as a presidential candidate, when he denounced Mexican border-crossers as rapists and criminals, a rancid nativism — aimed at people who have darker skins than Norwegians — has been Trump’s tribalist weapon of choice, his scalpel prodding the worst impulses of the American spirit."
"1571007118-1105","https://www.nytimes.com/search?query=Donald+Trump","Congress Can Seek Trump’s Financial Records, Appeals Court RulesThe ruling, by a three-judge panel, handed a victory to House Democrats whose efforts to obtain the documents have been stonewalled by the White House.By Charlie SavagePRINT EDITIONCongress Can Seek Trump’s Financial Records, Appeals Court Panel Rules|October 12, 2019, Page A15","https://www.nytimes.com/2019/10/11/us/politics/mazars-trump-tax-returns.html?searchResultPosition=18","Congress Can Seek Trump’s Financial Records, Appeals Court Rules","null","","Oct. 11, 2019","In a 66-page ruling, the panel rejected Mr. Trump’s argument that Congress had no legitimate legislative authority to seek his business records from the firm, Mazars USA, because the committee was trying to determine whether he broke existing laws — not weighing whether to enact a new one."
"1571007128-1231","https://www.nytimes.com/search?query=Donald+Trump","We Will Never, Ever Be Rid of Donald TrumpThere is no black Sharpie to write him out of our consciousness.By Frank BruniPRINT EDITIONWe Will Never, Ever Be Rid Of Trump|September 11, 2019, Page A31","https://www.nytimes.com/2019/09/10/opinion/donald-trump.html?searchResultPosition=14","We Will Never, Ever Be Rid of Donald Trump","There is no black Sharpie to write him out of our consciousness.","","null","Flashing back to the night in November 2016 when the family watched the election returns, Coppins wrote that they were in shock, because Trump “was supposed to go down in a spectacular blaze of made-for-TV martyrdom that all of them could capitalize on. Ivanka had a book coming out. Don and Eric were working on a line of patriotically themed budget hotels. And preliminary talks were underway to launch a Trump-branded TV network that would turn disgruntled voters into viewers. Now they needed a new plan.” Apparently it’s one modeled after the Kennedys and the Bushes, only with a much bigger budget for hair and makeup."
"1571007113-1079","https://www.nytimes.com/search?query=Donald+Trump","Donald Is DesperateHe will do and say whatever he can to avoid impeachment.By Charles M. Blow","https://www.nytimes.com/2019/10/02/opinion/trump-impeachment.html?searchResultPosition=20","Donald Is Desperate","He will do and say whatever he can to avoid impeachment.","","null","We have to remember that Trump isn’t a politician who entered the arena with a deep desire to serve and with appreciation for the country’s history, customs and institutions."
"1571007128-1228","https://www.nytimes.com/search?query=Donald+Trump","We Will Never, Ever Be Rid of Donald TrumpThere is no black Sharpie to write him out of our consciousness.By Frank BruniPRINT EDITIONWe Will Never, Ever Be Rid Of Trump|September 11, 2019, Page A31","https://www.nytimes.com/2019/09/10/opinion/donald-trump.html?searchResultPosition=14","We Will Never, Ever Be Rid of Donald Trump","There is no black Sharpie to write him out of our consciousness.","","null","[Get a more personal take on politics, newsmakers and more with Frank Bruni’s exclusive commentary every week. Sign up for his newsletter.]"
"1571007090-885","https://www.nytimes.com/search?query=Donald+Trump","‘Shame on Him’: Evangelicals Call Out Trump on SyriaSome of the president’s most ardent supporters worry that troop withdrawal threatens religious minorities, especially Christians. They are pushing back, to a point.By Elizabeth DiasPRINT EDITION‘Shame on Him’: American Evangelicals Call Out the President Over Syria|October 11, 2019, Page A12","https://www.nytimes.com/2019/10/10/us/evangelicals-syria-trump-criticism.html?searchResultPosition=29","‘Shame on Him’: Evangelicals Call Out Trump on Syria","Some of the president’s most ardent supporters worry that troop withdrawal threatens religious minorities, especially Christians. They are pushing back, to a point.","","null","But this week, some of Mr. Trump’s top evangelical supporters broke rank to raise alarms over his move to withdraw troops from Syria, which prompted Turkish forces to launch a ground and air assault against a Kurdish-led militia that has been a crucial ally in the American fight against ISIS."
"1571007126-1193","https://www.nytimes.com/search?query=Donald+Trump","Trump’s Abrupt Shifts in Middle East Unnerve U.S. AlliesPresident Trump’s acquiescence to a Turkish raid on the Kurds in northern Syria alarmed allies for its unpredictability as much as its betrayal.By David D. Kirkpatrick, Ben Hubbard and David M. HalbfingerPRINT EDITIONPolicy Zigzags By Trump Put Mideast in Fog|October 13, 2019, Page A1","https://www.nytimes.com/2019/10/12/world/middleeast/trumps-abandonment-of-the-kurds-in-syria-has-other-allies-worried.html?searchResultPosition=15","Trump’s Abrupt Shifts in Middle East Unnerve U.S. Allies","null","","Oct. 12, 2019","“We have got to keep the pressure on ISIS so they don’t recover,” former Secretary of Defense Jim Mattis said in a pretaped interview for NBC’s “Meet the Press.” Mr. Mattis, who resigned late last year when Mr. Trump first announced a Syria withdrawal, suggested that the president’s political desires to pull back troops was risky."
"1571007153-1461","https://www.nytimes.com/search?query=Donald+Trump","Does Donald Trump Know What His Syria Policy Is?Another round of contradictory signals from the White House shakes allies’ trust and puts lives at risk.By The Editorial Board","https://www.nytimes.com/2019/10/07/opinion/trump-syria-erdogan-turkey.html?searchResultPosition=5","Does Donald Trump Know What His Syria Policy Is?","null","","null","Mr. Trump’s announcement and tweets infuriated conservative allies, including the Senate majority leader, Mitch McConnell, and Senator Lindsey Graham."
"1571007111-1058","https://www.nytimes.com/search?query=Donald+Trump","What Happened Today in Trump Impeachment Inquiry NewsA significant plot twist: Two businessmen who had been called to testify in the House impeachment inquiry are indicted.By Noah WeilandPRINT EDITIONOctober 11, 2019","https://www.nytimes.com/2019/10/10/us/politics/trump-impeachment-news.html?searchResultPosition=21","What Happened Today in Trump Impeachment Inquiry News","null","","null","What about to Congress? They were supposed to be important witnesses in the impeachment investigation this week before they were arrested."
"1571007137-1274","https://www.nytimes.com/search?query=Donald+Trump","Those Foreign Business Ties? The Trump Sons Have Plenty TooThe Trumps have criticized Hunter Biden for doing business overseas while his father was vice president. Last month, the Trumps won approval in Scotland to build 500 homes.By Eric Lipton, Steve Eder and Ben ProtessPRINT EDITIONThose Foreign Business Deals? Trump’s Sons Have Plenty, Too|October 12, 2019, Page A1","https://www.nytimes.com/2019/10/11/us/politics/donald-trump-jr-eric-trump-business.html?searchResultPosition=11","Those Foreign Business Ties? The Trump Sons Have Plenty Too","null","","null","But for the children of the politically powerful, personal business and public dealings can often be indistinguishable, especially when private projects depend on foreign governments that are looking to bolster ties with Washington."
"1571007145-1405","https://www.nytimes.com/search?query=Donald+Trump","How Donald Trump’s Obsession With Immigrants Has Shaped His Presidency“Border Wars,” by Julie Hirschfeld Davis and Michael D. Shear, details the administration’s draconian immigration policies.By Joe KleinPRINT EDITIONKeep ’Em Out!","https://www.nytimes.com/2019/10/08/books/review/border-wars-julie-hirschfeld-davis-michael-d-shear.html?searchResultPosition=8","How Donald Trump’s Obsession With Immigrants Has Shaped His Presidency","null","","null","Durbin and Graham — who received a similar call that morning — expected a private meeting with the president, but as they waited in the West Wing lobby a phalanx of hard-liners arrived, led by Stephen Miller, the young mastermind of Trump’s draconian immigration policies. Were they being ambushed? Durbin wondered. Indeed, they were. The meeting lapsed into a notorious Trump rant — about accepting immigrants from “shithole countries.” The president seemed amazed by the Durbin-Graham proposal: “Wait a minute — why do we want people from Haiti here?” Why not more people from Norway? Graham was flabbergasted: What had happened between 10 a.m., when the president called offering the deal, and noon, when the historic Oval Office tirade had taken place? “I don’t know where that guy” — the more amenable Trump — “went,” Graham told the homeland security secretary Kirstjen Nielsen days later. “I want him back.”"
"1571007108-1031","https://www.nytimes.com/search?query=Donald+Trump","Trump Is Serious About Carrying Minnesota, the One That Got Away in 2016The president lost the state by less than 45,000 votes in 2016, despite barely campaigning there. He holds a rally in Minneapolis Thursday night.By Annie Karni and Maggie HabermanPRINT EDITIONPlan B After a Slim Loss:  More Time in Minnesota|October 10, 2019, Page A14","https://www.nytimes.com/2019/10/09/us/politics/trump-minnesota-2020.html?searchResultPosition=22","Trump Is Serious About Carrying Minnesota, the One That Got Away in 2016","null","","Oct. 9, 2019","“Over the last 25 years, I’ve never seen an investment as robust and deep this early by a Republican presidential candidate,” said Ken Martin, the chairman of the Minnesota Democratic-Farmer-Labor Party. Mr. Martin said it was clear to him that “Trump and the Republicans believe they can win and are doing everything to make it so.”"
"1571007108-1029","https://www.nytimes.com/search?query=Donald+Trump","Trump Is Serious About Carrying Minnesota, the One That Got Away in 2016The president lost the state by less than 45,000 votes in 2016, despite barely campaigning there. He holds a rally in Minneapolis Thursday night.By Annie Karni and Maggie HabermanPRINT EDITIONPlan B After a Slim Loss:  More Time in Minnesota|October 10, 2019, Page A14","https://www.nytimes.com/2019/10/09/us/politics/trump-minnesota-2020.html?searchResultPosition=22","Trump Is Serious About Carrying Minnesota, the One That Got Away in 2016","null","","Oct. 9, 2019","“It is a full-on major effort state campaign,” said Tim Murtaugh, a Trump campaign spokesman. “And we will have the resources behind it to make it count.”"
"1571007090-908","https://www.nytimes.com/search?query=Donald+Trump","‘Shame on Him’: Evangelicals Call Out Trump on SyriaSome of the president’s most ardent supporters worry that troop withdrawal threatens religious minorities, especially Christians. They are pushing back, to a point.By Elizabeth DiasPRINT EDITION‘Shame on Him’: American Evangelicals Call Out the President Over Syria|October 11, 2019, Page A12","https://www.nytimes.com/2019/10/10/us/evangelicals-syria-trump-criticism.html?searchResultPosition=29","‘Shame on Him’: Evangelicals Call Out Trump on Syria","Some of the president’s most ardent supporters worry that troop withdrawal threatens religious minorities, especially Christians. They are pushing back, to a point.","","null","“That is a legitimate concern, it is just disturbing to me,” he said. “Christians speaking out on this should be concerned about the Muslims who will lose their lives because of this policy as well.”"
"1571007113-1076","https://www.nytimes.com/search?query=Donald+Trump","Donald Is DesperateHe will do and say whatever he can to avoid impeachment.By Charles M. Blow","https://www.nytimes.com/2019/10/02/opinion/trump-impeachment.html?searchResultPosition=20","Donald Is Desperate","He will do and say whatever he can to avoid impeachment.","","null","He will do anything to avoid this. But this may now be all out of his hands. The whistle-blower complaint has been filed and its credibility bolstered by Trump’s own statements, the rough transcript memo released by the White House and confirmations from the White House."
"1571007123-1156","https://www.nytimes.com/search?query=Donald+Trump","Bringing Grievances to His Conservative Base, Trump Assails Impeachment InquiryFor the third night in a row, the president delivered a version of his combative response to the start of the impeachment inquiry.By Annie KarniPRINT EDITIONOctober 13, 2019","https://www.nytimes.com/2019/10/12/us/politics/trump-impeachment-values-voter.html?searchResultPosition=16","Bringing Grievances to His Conservative Base, Trump Assails Impeachment Inquiry","null","","Oct. 12, 2019","Later on Saturday night, Mr. Trump also gave a phone interview to the Fox News host Jeanine Pirro, making him one of the sole and omnipresent voices in the White House mounting a defense of his actions and an assault on Democrats as the impeachment inquiry barrels forward."
"1571007143-1363","https://www.nytimes.com/search?query=Donald+Trump","Donald Trump vs. the United States of AmericaJust the facts, in 40 sentences.By David LeonhardtPRINT EDITIONPresident Trump, Just the Facts|September 23, 2019, Page A27","https://www.nytimes.com/2019/09/22/opinion/trump-ukraine-whistle-blower.html?searchResultPosition=9","Donald Trump vs. the United States of America","Just the facts, in 40 sentences.","","null","He publicly undermined American intelligence agents while standing next to a hostile foreign autocrat."
"1571007088-872","https://www.nytimes.com/search?query=Donald+Trump","Trump Reaches ‘Phase 1’ Deal With China and Delays Planned TariffsPresident Trump said he had reached an agreement with China to walk back tensions in the trade war as he met with a top Chinese envoy FridayBy Ana SwansonPRINT EDITION‘Phase 1’ Accord To Freeze Tariffs Against Chinese|October 12, 2019, Page A1","https://www.nytimes.com/2019/10/11/business/economy/us-china-trade-deal.html?searchResultPosition=30","Trump Reaches ‘Phase 1’ Deal With China and Delays Planned Tariffs","null","","Oct. 11, 2019","Mr. Trump and his advisers also did not mention any progress in areas that the American business community has identified as critical to its ability to compete with Chinese companies — including China’s subsidization of industries, the role of the government in the economy and the country’s restrictions on transfers of data across its borders."
"1571007153-1457","https://www.nytimes.com/search?query=Donald+Trump","Does Donald Trump Know What His Syria Policy Is?Another round of contradictory signals from the White House shakes allies’ trust and puts lives at risk.By The Editorial Board","https://www.nytimes.com/2019/10/07/opinion/trump-syria-erdogan-turkey.html?searchResultPosition=5","Does Donald Trump Know What His Syria Policy Is?","null","","null","To prevent a Turkish invasion, the three sides — the United States, Turkey and the Kurds — agreed to five-mile-wide safe zones along the border with Turkey, in Syria. Americans would patrol alongside Turkish forces, and the Kurds would dismantle fortifications in those areas that were designed to defend against a possible Turkish incursion. Turkey would also join American-led air operations against Islamic State militants. The deal would put a strain on the 1,000 or so American troops stationed in the region, but it would protect the Kurds in northern Syria and maintain pressure on the Islamic State."
