web-scraper-order,web-scraper-start-url,article,article-href,title,subtitle,author,content,date
"1570855339-295","https://www.nytimes.com/section/politics","ImageActing Homeland Security Chief Shouted Off Stage at Georgetown LawProtesters shut down a speech by Kevin K. McAleenan, the latest effort by opponents of the Trump administration’s hard-line immigration policies to let their grievances be known to policymakers.By Zolan Kanno-Youngs","https://www.nytimes.com/2019/10/07/us/politics/homeland-security-chief-protesters.html","Acting Homeland Security Chief Shouted Off Stage at Georgetown Law","null","Zolan Kanno-Youngs","Almost immediately after Mr. McAleenan was introduced to give a speech hosted by the Migration Policy Institute, nearly a dozen advocates and law students in the crowd stood up holding signs saying, “Stand with immigrants” and “Hate is not normal.” Standing at the lectern in front of the packed auditorium, Mr. McAleenan tried to start speaking but was drowned out by chants of: “When immigrants are under attack, what do we do? Stand up, fight back.”","Oct. 7, 2019"
"1570855586-1189","https://www.nytimes.com/section/politics","ImageBiden Calls for Trump Impeachment for First TimeIt was the first time the former vice president expressed support for full impeachment. He had previously backed a congressional inquiry.By Jonathan Martin","https://www.nytimes.com/2019/10/09/us/politics/biden-speech-impeachment.html","Biden Calls for Trump Impeachment for First Time","It was the first time the former vice president expressed support for full impeachment. He had previously backed a congressional inquiry.","Jonathan Martin","“He’s afraid about just how badly I will beat him next November,” said Mr. Biden, attempting to frame the general election as a contest between him and the president, and appealing to Democratic voters here and elsewhere who are consumed with finding a nominee who can oust Mr. Trump.","Published Oct. 9, 2019"
"1570855417-542","https://www.nytimes.com/section/politics","ImageG.M. Strike’s Economic Toll Is Showing: ‘I Might Lose the Business’Much of the pain from the strike, now in its fourth week, is concentrated in the northern Midwest, which was already contending with a manufacturing slowdown.By Nelson D. Schwartz and David Yaffe-Bellany","https://www.nytimes.com/2019/10/08/business/economy/gm-strike-economy-impact.html","G.M. Strike’s Economic Toll Is Showing: ‘I Might Lose the Business’","null","Nelson D. Schwartz","The most intense economic pain is being felt in the industrial Midwest, where G.M.’s network of plants and suppliers is thickest. It is a difficult time for the region’s manufacturing industry, which even before the strike was contending with slowing auto sales, a weakening global economy and the trade war.","Oct. 8, 2019"
"1570855715-1629","https://www.nytimes.com/section/politics","ImageWhat Happened Today in Trump Impeachment Inquiry NewsA significant plot twist: Two businessmen who had been called to testify in the House impeachment inquiry are indicted.By Noah Weiland","https://www.nytimes.com/2019/10/10/us/politics/trump-impeachment-news.html","What Happened Today in Trump Impeachment Inquiry News","null","Noah Weiland","Why did that activity raise alarm bells?","null"
"1570855505-922","https://www.nytimes.com/section/politics","ImageTrump’s Ukraine Call Was ‘Crazy’ and ‘Frightening,’ Official Told Whistle-BlowerThe whistle-blower wrote a memo describing an official who heard the call as “visibly shaken” by it.By Nicholas Fandos","https://www.nytimes.com/2019/10/08/us/politics/trump-ukraine-whistleblower.html","Trump’s Ukraine Call Was ‘Crazy’ and ‘Frightening,’ Official Told Whistle-Blower","The whistle-blower wrote a memo describing an official who heard the call as “visibly shaken” by it.","Nicholas Fandos","WASHINGTON — A White House official who listened to President Trump’s July phone call with Ukraine’s leader described it as “crazy,” “frightening” and “completely lacking in substance related to national security,” according to a memo written by the whistle-blower at the center of the Ukraine scandal, a C.I.A. officer who spoke to the White House official.","Oct. 8, 2019"
"1570855260-31","https://www.nytimes.com/section/politics","ImageNew York Democrats Balance Impeachment Issue With Local ConcernsIn three distinct enclaves of New York, lawmakers found that voters were curious about impeachment, but far more preoccupied with regional issues.By Emily Cochrane","https://www.nytimes.com/2019/10/06/us/politics/new-york-democrats-impeachment.html","New York Democrats Balance Impeachment Issue With Local Concerns","null","Emily Cochrane","More than 100 miles south on Staten Island, Representative Max Rose, another Democrat representing a conservative-leaning district, used a gathering last week with his constituents at a Jewish community center to declare his support for the impeachment inquiry. He was greeted with a hearty round of applause as he surrendered his status as one of his party’s last holdouts.","Oct. 6, 2019"
"1570855624-1315","https://www.nytimes.com/section/politics","ImageTrump Is Serious About Carrying Minnesota, the One That Got Away in 2016The president lost the state by less than 45,000 votes in 2016, despite barely campaigning there. He holds a rally in Minneapolis Thursday night.By Annie Karni and Maggie Haberman","https://www.nytimes.com/2019/10/09/us/politics/trump-minnesota-2020.html","Trump Is Serious About Carrying Minnesota, the One That Got Away in 2016","null","Annie Karni","But the rural regions in the state have also seen a loss of population, while the suburbs, where Mr. Trump has done little to expand his appeal with voters, have grown.","Oct. 9, 2019"
"1570855483-829","https://www.nytimes.com/section/politics","ImageTrump’s Trade War Could Put Swiss-Size Dent in Global Economy, I.M.F. WarnsThe International Monetary Fund is the latest global organization to warn of growing economic fallout from President Trump’s trade war.By Ana Swanson","https://www.nytimes.com/2019/10/08/us/politics/trump-trade-war-imf.html","Trump’s Trade War Could Put Swiss-Size Dent in Global Economy, I.M.F. Warns","null","Ana Swanson","“In this very dangerous game of ‘chicken,’ the global economy may end up as roadkill,” Mr. Shapiro said.","Oct. 8, 2019"
"1570855431-643","https://www.nytimes.com/section/politics","ImageJulián Castro’s Mom Always Wanted Him to Be This OutspokenIt took Donald Trump to help get him there.By Jennifer Medina","https://www.nytimes.com/2019/10/08/us/politics/julian-rosie-castro.html","Julián Castro’s Mom Always Wanted Him to Be This Outspoken","It took Donald Trump to help get him there.","Jennifer Medina","She then quickly added, of the current president: “You got a man who took everything and turned it on its head. Is there more of a reason to be angry? Of course. He’s talking about us and he’s talking about our people.”","Oct. 8, 2019"
"1570855624-1319","https://www.nytimes.com/section/politics","ImageTrump Is Serious About Carrying Minnesota, the One That Got Away in 2016The president lost the state by less than 45,000 votes in 2016, despite barely campaigning there. He holds a rally in Minneapolis Thursday night.By Annie Karni and Maggie Haberman","https://www.nytimes.com/2019/10/09/us/politics/trump-minnesota-2020.html","Trump Is Serious About Carrying Minnesota, the One That Got Away in 2016","null","Annie Karni","The heated back-and-forth hinted at the aggrieved tone Mr. Trump plans to strike at the rally Thursday night. “The lightweight mayor is hurting the great police and other wonderful supporters. 72,000 ticket requests already. Dump Frey and Omar! Make America Great Again!” Mr. Trump wrote Tuesday on Twitter.","Oct. 9, 2019"
