web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content,
"1575050480-65477","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=46","Obama calls for stricter gun control in wake of mass shootings: 'We are not helpless here'","https://www.foxnews.com/politics/barack-obama-calls-for-stricter-gun-controls-in-wake-of-weekends-mass-shootings-we-are-not-helpless-here","Obama calls for stricter gun control in wake of mass shootings: 'We are not helpless here'","Obama calls for stricter gun control in wake of mass shootings: 'We are not helpless here'","","August 5","“Such language isn’t new -- it’s been at the root of most human tragedy throughout history, here in America and around the world,"" he said. ""It has no place in our politics and our public life. And it’s time for the overwhelming majority of Americans of goodwill, of every race and faith and political party, to say as much -- clearly and unequivocally.”","null"
"1575050461-65451","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=48","Former Obama top official defends migrant detention centers, says 'cages' not invented when Trump took office","https://www.foxnews.com/politics/jeh-johnson-obama-trump-migrant-detention","Former Obama top official defends migrant detention centers, says 'cages' not invented when Trump took office","Former Obama top official defends migrant detention centers, says 'cages' not invented when Trump took office","","July 2","""There ought to be criminal prosecutions of some of the agency heads and some of the people for child abuse. This is clearly child abuse. It violates probably half a dozen laws,"" he said.","null"
"1575050661-65873","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=23","Biden defends son, downplays lack of Obama endorsement in tough ’60 Minutes’ interview","https://www.foxnews.com/politics/in-tough-60-minutes-interview-biden-defends-son-downplays-lack-of-obama-endorsement","Biden defends son, downplays lack of Obama endorsement in tough ’60 Minutes’ interview","Biden defends son, downplays lack of Obama endorsement in tough ’60 Minutes’ interview","","October 28","""I hope you know exactly what you're doing here. That's all I meant. Nothing more than that, because I've never discussed my business or their business, my sons' or daughter's. And I've never discussed them because they know where I have to do my job and that's it and they have to make their own judgments,” he explained.","null"
"1575050537-65635","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=40","Mattis slams Obama, Biden for 'ignoring reality' in Iraq, leading to rise of ISIS","https://www.foxnews.com/politics/mattis-slams-obama-biden-for-ignoring-reality-in-iraq-leading-to-rise-of-isis","Mattis slams Obama, Biden for 'ignoring reality' in Iraq, leading to rise of ISIS","Mattis slams Obama, Biden for 'ignoring reality' in Iraq, leading to rise of ISIS","","September 3","He continued: “Over the next several years, Syria totally disintegrated into hell on earth. The consequences included an accelerated refugee flow that changed the political culture of Europe, punctuated by repeated terrorist attacks. And America today lives with the consequences of emboldened adversaries and shaken allies.”","null"
"1575050760-65958","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=14","Obama warned he would intervene to stop Bernie, had cutting words for Biden: report","https://www.foxnews.com/politics/obama-warned-he-would-intervene-to-stop-bernie-from-winning-nomination-report","Obama warned he would intervene to stop Bernie, had cutting words for Biden: report","Obama warned he would intervene to stop Bernie, had cutting words for Biden: report","","3 days ago","Obama dismissed far-left positions as not being popular among average Americans, even if they make waves on social media.","null"
"1575050517-65581","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=42","Obama warns Dem freshmen on cost of their proposals","https://www.foxnews.com/politics/obama-warns-dem-freshmen-on-cost-of-their-proposals","Obama warns Dem freshmen on cost of their proposals","Obama warns Dem freshmen on cost of their proposals","","March 26","The Green New Deal is a massive overhaul of the nation’s economy and energy use, with an estimated cost that could reach well into the tens of trillions of dollars. The resolution, which is nonbinding, is co-sponsored by nearly all major 2020 Democrats in Congress and was introduced in the House last month.","null"
"1575050791-66027","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=10","Obama endorses Justin Trudeau for reelection in Canada","https://www.foxnews.com/politics/fmr-pres-obama-endorses-justin-trudeau-for-reelection","Obama endorses Justin Trudeau for reelection in Canada","Obama endorses Justin Trudeau for reelection in Canada","","October 16","An endorsement from Obama, who was highly popular in Canada during his time in office, might boost the Liberal Party in its effort to nab a victory during Monday's election.","null"
"1575050644-65833","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=25","Dems who praised Obama for troop withdrawal now highly critical of Trump","https://www.foxnews.com/politics/dems-who-praised-obama-for-troop-withdrawal-now-highly-critical-of-trump","Dems who praised Obama for troop withdrawal now highly critical of Trump","Dems who praised Obama for troop withdrawal now highly critical of Trump","","October 17","“You don’t turn your back on an ally that lost 11,000 troops fighting against terrorism through a tweet and a discussion with Erdogan,” Sanders told ABC’s George Stephanopoulos. This criticism came despite Sanders acknowledgment that “I am a strong opponent of endless wars.”","null"
"1575050644-65840","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=25","Dems who praised Obama for troop withdrawal now highly critical of Trump","https://www.foxnews.com/politics/dems-who-praised-obama-for-troop-withdrawal-now-highly-critical-of-trump","Dems who praised Obama for troop withdrawal now highly critical of Trump","Dems who praised Obama for troop withdrawal now highly critical of Trump","","October 17","“President Trump is being told EXACTLY what President Obama was told before he withdrew from Iraq,” Graham tweeted Wednesday. “He appears to be hell-bent on making the same mistakes in Syria as President Obama made in Iraq.”","null"
"1575050444-65423","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=50","Jesse Watters: Obama administration most 'corrupt' since Nixon","https://www.foxnews.com/politics/jesse-watters-obama-administration-most-corrupt-since-nixon","Jesse Watters: Obama administration most 'corrupt' since Nixon","Jesse Watters: Obama administration most 'corrupt' since Nixon","","March 25","Brennan earlier this month appeared on MSNBC’s “The Last Word” and admitted that a “criminal conspiracy involving the Russians” was developing during his tenure as CIA director.","null"
"1575050564-65707","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=37","Barack Obama, Insurance Salesman","https://www.foxnews.com/politics/barack-obama-insurance-salesman","Barack Obama, Insurance Salesman","Barack Obama, Insurance Salesman","","September 26, 2013","Chris Stirewalt is digital politics editor for Fox News.  His Power Play column appears Tuesdays and Thursdays at FoxNews.com. Catch Chris live online weekdays at 11:30 am ET.  Read his “Fox News First” newsletter published each weekday morning. Sign up here.","null"
