web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content,
"1575050119-65022","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=25","Mitch McConnell makes history as longest serving Senate Republican leader","https://www.foxnews.com/politics/mitch-mcconnell-makes-history-as-longest-serving-senate-republican-leader","Mitch McConnell makes history as longest serving Senate Republican leader","Mitch McConnell makes history as longest serving Senate Republican leader","","June 12, 2018","“We’re setting an incredibly dangerous precedent in the institution that I love,” former Vice President Joe Biden said.","null"
"1575050008-64814","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=38","‘Moscow Mitch’ merchandise sales top $200,000 in 48 hours, Kentucky Dems say","https://www.foxnews.com/politics/moscow-mitch-merchandise-sales-top-200000-in-48-hours-kentucky-dems-say","‘Moscow Mitch’ merchandise sales top $200,000 in 48 hours, Kentucky Dems say","‘Moscow Mitch’ merchandise sales top $200,000 in 48 hours, Kentucky Dems say","","August 2","The pejorative nickname emerged when Washington Post writer Dana Milbank suggested in an article last week that Senate Majority Leader Mitch McConnell, R-Ky., was a “Russian asset” for blocking legislation to bolster election security.","null"
"1575049989-64770","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=40","McConnell willing to consider ‘bipartisan’ gun violence solutions, opposes 'infringing' on rights","https://www.foxnews.com/politics/mcconnell-willing-to-consider-bipartisan-gun-violence-solutions-opposes-infringing-on-constitutional-rights","McConnell willing to consider ‘bipartisan’ gun violence solutions, opposes 'infringing' on rights","McConnell willing to consider ‘bipartisan’ gun violence solutions, opposes 'infringing' on rights","Alex Pappas","August 5","","null"
"1575050172-65121","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=18","Dems divided on Green New Deal after Mitch McConnell ramps up pressure","https://www.foxnews.com/politics/dems-remain-divided-on-green-new-deal-after-mitch-mcconnell-ramps-up-pressure","Dems divided on Green New Deal after Mitch McConnell ramps up pressure","Dems divided on Green New Deal after Mitch McConnell ramps up pressure","","February 14","House Speaker Nancy Pelosi also threw shade on the Green New Deal earlier this month.","null"
"1575049989-64779","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=40","McConnell willing to consider ‘bipartisan’ gun violence solutions, opposes 'infringing' on rights","https://www.foxnews.com/politics/mcconnell-willing-to-consider-bipartisan-gun-violence-solutions-opposes-infringing-on-constitutional-rights","McConnell willing to consider ‘bipartisan’ gun violence solutions, opposes 'infringing' on rights","McConnell willing to consider ‘bipartisan’ gun violence solutions, opposes 'infringing' on rights","","August 5","“These grants will be given to law enforcement so they can hire and consult with mental health professionals to better determine which cases need to be acted upon,” Graham said Monday. “This grant program also requires robust due process and judicial review. It does allow for quick action.”","null"
"1575050231-65235","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=11","Mitch McConnell: 'For the first time in my memory, I agree with Nancy Pelosi'","https://www.foxnews.com/politics/mitch-mcconnell-for-the-first-time-in-my-memory-i-agree-with-nancy-pelosi","Mitch McConnell: 'For the first time in my memory, I agree with Nancy Pelosi'","Mitch McConnell: 'For the first time in my memory, I agree with Nancy Pelosi'","","June 13","Earlier in the day, Pelosi unveiled a ""McConnell's Graveyard"" poster, listing several legislative items, written on tombstones, suggesting that the GOP leader was happy to stall the measures in Congress, McConnell explained on ""The Ingraham Angle.""","null"
"1575050110-64993","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=26","McConnell says he'd have 'no choice' but to take up impeachment articles if House approves them","https://www.foxnews.com/politics/mcconnell-says-he-has-no-choice-but-to-take-up-impeachment-articles-if-house-approves-them","McConnell says he'd have 'no choice' but to take up impeachment articles if House approves them","McConnell says he'd have 'no choice' but to take up impeachment articles if House approves them","","September 30","But last week, before House Speaker Nancy Pelosi, D-Calif., announced the formal impeachment inquiry in the House, McConnell said he was “not going to address all of these…hypotheticals.”","null"
"1575049977-64765","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=42","Mitch McConnell says protesters who confronted him 'waited' until wife Elaine Chao was gone","https://www.foxnews.com/politics/mitch-mcconnell-says-protesters-who-confronted-him-waited-until-wife-elaine-chao-was-gone","Mitch McConnell says protesters who confronted him 'waited' until wife Elaine Chao was gone","Mitch McConnell says protesters who confronted him 'waited' until wife Elaine Chao was gone","","July 10, 2018","He also included the hashtag “#dontleavehomewithouther.”","null"
"1575050110-65006","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=26","McConnell says he'd have 'no choice' but to take up impeachment articles if House approves them","https://www.foxnews.com/politics/mcconnell-says-he-has-no-choice-but-to-take-up-impeachment-articles-if-house-approves-them","McConnell says he'd have 'no choice' but to take up impeachment articles if House approves them","McConnell says he'd have 'no choice' but to take up impeachment articles if House approves them","","September 30","CLICK HERE FOR THE ALL-NEW FOXBUSINESS.COM","null"
"1575050051-64883","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=33","GOP leaders decry Kavanaugh attacks as McConnell says 'this is not normal political behavior'","https://www.foxnews.com/politics/brett-kavanaugh-mitch-mcconnell-lindsey-graham-impeachment-calls","GOP leaders decry Kavanaugh attacks as McConnell says 'this is not normal political behavior'","GOP leaders decry Kavanaugh attacks as McConnell says 'this is not normal political behavior'","","September 16","South Carolina Republican Sen. Lindsey Graham, the Judiciary Committee chairman who mounted one of the most passionate defenses of Kavanaugh during his confirmation hearing, called the attacks “beyond the pale.”","null"
