web-scraper-order,web-scraper-start-url,articles,articles-href,title,subtitle,author,date,content
"1571099142-5701","https://www.nytimes.com/search?query=Betsy+Devos","Biggest Offender in Outsize Debt: Graduate SchoolsThe market for master’s degrees behaves in strange and erratic ways, new data reveals.By Kevin CareyPRINT EDITIONGraduate Students Pack on Debt, Earning M.A.s and I.O.U.s|June 4, 2019, Page B4","https://www.nytimes.com/2019/06/03/upshot/student-debt-big-culprit-graduate-school.html?searchResultPosition=15","Biggest Offender in Outsize Debt: Graduate Schools","The market for master’s degrees behaves in strange and erratic ways, new data reveals.","Kevin Carey","null",""
"1571099171-5926","https://www.nytimes.com/search?query=Betsy+Devos","L.G.B.T.Q. Rights Cases Stall Under DeVos, Report FindsAn analysis by the Center for American Progress found that the Trump administration was less likely to investigate claims of discrimination against L.G.B.T.Q. students.By Erica L. GreenPRINT EDITIONL.G.B.T.Q. Students’ Rights Cases Stall Under DeVos, Report Finds|July 30, 2019, Page A12","https://www.nytimes.com/2019/07/29/us/politics/gay-transgender-rights-devos.html?searchResultPosition=6","L.G.B.T.Q. Rights Cases Stall Under DeVos, Report Finds","null","","July 29, 2019","“These data really show that Betsy DeVos is not doing her job,” said Frank J. Bewkes, one of the report’s authors. “Her office just doesn’t seem to care about enforcing civil rights for these students.”"
"1571099166-5887","https://www.nytimes.com/search?query=Betsy+Devos","Emails Show DeVos Aides Pulled Strings for Failing For-Profit CollegesA House committee has a trove of documents that show top Education Department officials trying to prop up a for-profit chain as it careened toward collapse.By Erica L. Green and Stacy CowleyPRINT EDITIONFor-Profit Failure Clouds Education Dept.|July 24, 2019, Page B1","https://www.nytimes.com/2019/07/23/us/politics/dream-center.html?searchResultPosition=8","Emails Show DeVos Aides Pulled Strings for Failing For-Profit Colleges","null","","July 23, 2019","“My goal was to get as many of the more than 8,000 students to new institutions where they could complete their programs,” she said. “I stand firm in my decision to work collaboratively with accreditors to hold Dream Center accountable. That Dream Center executives characterize this as being about them is disingenuous but not surprising. They were trying to make it appear they had control of the mess they had made.”"
"1571099097-5509","https://www.nytimes.com/search?query=Betsy+Devos","Democrats Criticize Betsy DeVos, Trump’s Choice for EducationPresident-elect Donald J. Trump’s cabinet picks for the departments of Health and Human Services, Education and the Interior highlight a week of confirmation hearings.By Emmarie Huetteman and Kate ZernikePRINT EDITIONJanuary 18, 2017","https://www.nytimes.com/2017/01/17/us/politics/what-to-watch-a-crush-of-hearings-and-a-transfer-of-power.html?searchResultPosition=30","Democrats Criticize Betsy DeVos, Trump’s Choice for Education","null","","Jan. 17, 2017","“We saw the struggles and sacrifices many of these families faced when trying to choose the best educational option for their children,” she said. “For me, this was not just an issue of public policy but of national injustice.”"
"1571099171-5928","https://www.nytimes.com/search?query=Betsy+Devos","L.G.B.T.Q. Rights Cases Stall Under DeVos, Report FindsAn analysis by the Center for American Progress found that the Trump administration was less likely to investigate claims of discrimination against L.G.B.T.Q. students.By Erica L. GreenPRINT EDITIONL.G.B.T.Q. Students’ Rights Cases Stall Under DeVos, Report Finds|July 30, 2019, Page A12","https://www.nytimes.com/2019/07/29/us/politics/gay-transgender-rights-devos.html?searchResultPosition=6","L.G.B.T.Q. Rights Cases Stall Under DeVos, Report Finds","null","","July 29, 2019","The agency boasted that it has resolved, on average, nearly double the number of civil rights complaints per year compared with the prior eight fiscal years, and it noted a 60 percent increase in the number of complaint resolutions that required schools to make changes to protect students’ civil rights."
"1571099133-5670","https://www.nytimes.com/search?query=Betsy+Devos","Whose Side Is Betsy DeVos On?At a time when student loan borrowers are suffering, they may lose federal protections.By The Editorial BoardPRINT EDITIONApril 13, 2017, Page A22","https://www.nytimes.com/2017/04/13/opinion/whose-side-is-betsy-devos-on.html?searchResultPosition=18","Whose Side Is Betsy DeVos On?","null","","April 13, 2017","Navient has denied wrongdoing in these cases. But a growing body of damning evidence shows that the loan servicing industry requires more oversight, not less. The attorneys general are doing a public service by using the courts to fight for borrowers."
"1571099168-5907","https://www.nytimes.com/search?query=Betsy+Devos","Thousands of California Students Lose Financial Aid in Regulatory FightThe students were in the cross-fire of a regulatory fight between teachers unions and the Education Department.By Erica L. GreenPRINT EDITIONRegulatory Fight Shuts Off Aid for California Students in Online Classes|July 27, 2019, Page A10","https://www.nytimes.com/2019/07/26/us/politics/california-financial-aid.html?searchResultPosition=7","Thousands of California Students Lose Financial Aid in Regulatory Fight","null","","July 26, 2019","But the teachers’ unions did not buy it. They feared a delay would leave California teachers seeking online educational credits vulnerable to predatory attacks with no guarantee that their online programs would meet state standards for teacher certification. In August 2018, the National Education Association and the California Teachers Association sued Ms. DeVos, saying the department had not followed the proper administrative procedures in delaying the rules."
"1571099166-5891","https://www.nytimes.com/search?query=Betsy+Devos","Emails Show DeVos Aides Pulled Strings for Failing For-Profit CollegesA House committee has a trove of documents that show top Education Department officials trying to prop up a for-profit chain as it careened toward collapse.By Erica L. Green and Stacy CowleyPRINT EDITIONFor-Profit Failure Clouds Education Dept.|July 24, 2019, Page B1","https://www.nytimes.com/2019/07/23/us/politics/dream-center.html?searchResultPosition=8","Emails Show DeVos Aides Pulled Strings for Failing For-Profit Colleges","null","","July 23, 2019","The funds were intended to offset taxpayer liabilities if some of the chain’s schools closed or failed. Dream Center wanted to use part of the money to pay for expenses associated with closing campuses and helping current students complete their degrees. The department had in August agreed to release up to $50 million; Dream Center wanted more."
"1571099124-5634","https://www.nytimes.com/search?query=Betsy+Devos","Protester Shouts ‘Shame’ at Betsy DeVosMs. DeVos, the new education secretary, was blocked from entering a middle school in Washington on Friday.By REUTERS","https://www.nytimes.com/video/us/100000004924754/protester-shouts-shame-at-betsy-devos.html?searchResultPosition=21","null","null","Ad Choice","null",""
"1571099182-6000","https://www.nytimes.com/search?query=Betsy+Devos","Education Department Hits Michigan State With Record Fine Over Nassar ScandalThe Education Department announced a $4.5 million fine for Michigan State University over the Larry Nassar scandal and ordered an overhaul of its handling of sexual assault.By Erica L. GreenPRINT EDITIONRecord Fine for Michigan St. in Nassar Case|September 6, 2019, Page A13","https://www.nytimes.com/2019/09/05/us/politics/michigan-state-larry-nassar.html?searchResultPosition=3","Education Department Hits Michigan State With Record Fine Over Nassar Scandal","null","","null","In a settlement agreement with the department’s federal student aid office, the university said it would establish a Clery compliance officer position and a committee to oversee its compliance efforts and strengthen its reporting system. Department officials said they would “vigorously monitor” the university’s compliance through September 2024."
